Weekday,Status,Utility
Monday,Occupied,38
Monday,Available,62
Tuesday,Occupied,33
Tuesday,Available,67
Wednesday,Occupied,25
Wednesday,Available,75
Thursday,Occupied,28
Thursday,Available,72
Friday,Occupied,53
Friday,Available,47
